closetime,closetheta,omega,,,,,,time,Cd,real_moment,omega,theta,Cip,-0.17722321
0.082,0.128995716,1.431394902,,,,,,0.324,-2.260093248,0.310395915,-0.737560827,0.233264963,4.586973914,
0.083,0.130424556,1.426274135,,,,,,0.328,-2.254740591,0.314249296,-0.774276933,0.230204472,4.875094799,
0.084,0.131848246,1.42109706,,,,,,0.332,-2.250553283,0.318765778,-0.81050399,0.226998579,5.176536465,
0.085,0.133266731,1.415863883,,,,,,0.336,-2.240703327,0.323308553,-0.846219114,0.223649309,5.481664536,
0.086,0.134679955,1.41057481,,,,,,0.34,-2.229090061,0.326467783,-0.881399749,0.220158777,5.765350062,
0.087,0.136087862,1.40523005,,,,,,0.344,-2.218899475,0.331269394,-0.916023673,0.216529188,6.079956055,
0.088,0.137490397,1.399829814,,,,,,0.348,-2.197935104,0.334146297,-0.950069016,0.212762835,6.360690115,
0.089,0.138887503,1.394374315,,,,,,0.352,-2.175243951,0.337927222,-0.983514275,0.208862096,6.659111327,
0.09,0.140279127,1.388863768,,,,,,0.356,-2.150527322,0.341299024,-1.016338326,0.204829435,6.950015601,
0.091,0.141665213,1.383298392,,,,,,0.36,-2.124645921,0.343992828,-1.048520436,0.2006674,7.226678213,
0.092,0.143045705,1.377678405,,,,,,0.364,-2.092191669,0.34612076,-1.080040277,0.196378619,7.489969165,
0.093,0.144420551,1.37200403,,,,,,0.368,-2.052405473,0.347992001,-1.110877943,0.191965801,7.745474613,
0.094,0.145789695,1.36627549,,,,,,0.372,-2.01929655,0.351702758,-1.141013953,0.187431733,8.040427844,
0.095,0.147153084,1.360493013,,,,,,0.376,-1.975351174,0.351105135,-1.170429275,0.182779279,8.233695215,
0.096,0.148510664,1.354656825,,,,,,0.38,-1.932919329,0.353616451,-1.199105329,0.178011378,8.495759777,
0.097,0.14986238,1.348767158,,,,,,0.384,-1.882623051,0.354283365,-1.227024002,0.173131041,8.709961784,
0.098,0.15120818,1.342824244,,,,,,0.388,-1.828162487,0.353032109,-1.25416766,0.168141351,8.871197247,
0.099,0.152548011,1.336828317,,,,,,0.392,-1.781874998,0.355920337,-1.28051916,0.16304546,9.131693276,
0.1,0.153881819,1.330779615,,,,,,0.396,-1.730785144,0.355330851,-1.306061855,0.157846585,9.298418574,
0.101,0.155209553,1.324678376,,,,,,0.4,-1.673726902,0.356925697,-1.330779615,0.152548011,9.516919298,
0.102,0.156531159,1.31852484,,,,,,0.404,-1.615046912,0.357026225,-1.354656825,0.147153084,9.690402973,
0.103,0.157846585,1.312319252,,,,,,0.408,-1.557386866,0.358257995,-1.377678405,0.141665213,9.889086423,
0.104,0.15915578,1.306061855,,,,,,0.412,-1.495020607,0.355032099,-1.399829814,0.136087862,9.957614051,
0.105,0.160458691,1.299752898,,,,,,0.416,-1.430742761,0.35531989,-1.42109706,0.130424556,10.1170918,
0.106,0.161755268,1.293392628,,,,,,0.42,-1.36785987,0.355305691,-1.441466711,0.12467887,10.26169758,
0.107,0.16304546,1.286981298,,,,,,0.424,-1.304043944,0.352830351,-1.460925901,0.118854435,10.32776995,
0.108,0.164329214,1.28051916,,,,,,0.428,-1.23500677,0.352827111,-1.479462338,0.112954929,10.45871415,
0.109,0.165606481,1.274006469,,,,,,0.432,-1.171640219,0.350536855,-1.497064316,0.106984078,10.51445036,
0.11,0.16687721,1.267443482,,,,,,0.436,-1.101259311,0.348918306,-1.513720715,0.100945653,10.58234559,
0.111,0.168141351,1.260830459,,,,,,0.44,-1.035765154,0.345863348,-1.529421016,0.094843469,10.59849075,
0.112,0.169398855,1.25416766,,,,,,0.444,-0.966970147,0.34352431,-1.544155302,0.08868138,10.62822851,
0.113,0.17064967,1.247455349,,,,,,0.448,-0.90401714,0.340445226,-1.557914267,0.082463278,10.62681777,
0.114,0.171893749,1.240693791,,,,,,0.452,-0.835030682,0.336141217,-1.570689219,0.07619309,10.57850902,
0.115,0.173131041,1.233883252,,,,,,0.456,-0.764774375,0.334036803,-1.58247209,0.069874777,10.59114241,
0.116,0.174361499,1.227024002,,,,,,0.46,-0.701023309,0.329633426,-1.593255438,0.06351233,10.52274592,
0.117,0.175585073,1.220116311,,,,,,0.464,-0.631369737,0.326456792,-1.603032452,0.057109767,10.48529017,
0.118,0.176801716,1.213160451,,,,,,0.468,-0.569100189,0.321861738,-1.611796956,0.050671132,10.39422501,
0.119,0.178011378,1.206156699,,,,,,0.472,-0.500511447,0.318899328,-1.619543415,0.044200492,10.34805263,
0.12,0.179214013,1.199105329,,,,,,0.476,-0.441394345,0.313856655,-1.626266935,0.037701935,10.22670209,
0.121,0.180409573,1.19200662,,,,,,0.48,-0.382402244,0.307979811,-1.63196327,0.031179564,10.07036145,
0.122,0.181598011,1.184860854,,,,,,0.484,-0.317910579,0.303962483,-1.636628823,0.024637499,9.967416559,
0.123,0.182779279,1.177668311,,,,,,0.488,-0.267927579,0.297659168,-1.640260645,0.018079872,9.782380663,
0.124,0.183953332,1.170429275,,,,,,0.492,-0.212493764,0.292900379,-1.642856444,0.011510826,9.641219685,
0.125,0.185120122,1.163144033,,,,,,0.496,-0.1577543,0.286749231,-1.644414579,0.00493451,9.447698172,
0.126,0.186279605,1.155812872,,,,,,0.5,-0.104352158,0.281198469,-1.644934067,-0.001644923,9.267740753,
0.127,0.187431733,1.148436082,,,,,,0.504,-0.05898563,0.275408889,-1.644414579,-0.008223317,9.074061142,
0.128,0.188576462,1.141013953,,,,,,0.508,-0.018995257,0.268108273,-1.642856444,-0.014796518,8.825153358,
0.129,0.189713746,1.133546779,,,,,,0.512,0.036162969,0.2634649,-1.640260645,-0.021360372,8.658607615,
0.13,0.19084354,1.126034855,,,,,,0.516,0.06649438,0.255617028,-1.636628823,-0.027910735,8.382091674,
0.131,0.191965801,1.118478477,,,,,,0.52,0.112062061,0.249710063,-1.63196327,-0.034443469,8.165050111,
0.132,0.193080483,1.110877943,,,,,,0.524,0.118638987,0.239361802,-1.626266935,-0.040954447,7.79936252,
0.133,0.194187542,1.103233553,,,,,,0.528,0.165149535,0.234635162,-1.619543415,-0.047439558,7.61374138,
0.134,0.195286935,1.09554561,,,,,,0.532,0.201705128,0.227878088,-1.611796956,-0.053894705,7.359110583,
0.135,0.196378619,1.087814416,,,,,,0.536,0.220810234,0.220194661,-1.603032452,-0.060315811,7.072313912,
0.136,0.19746255,1.080040277,,,,,,0.54,0.252932149,0.213772365,-1.593255438,-0.06669882,6.824163142,
0.137,0.198538685,1.072223501,,,,,,0.544,0.268173977,0.20582288,-1.58247209,-0.073039701,6.525925943,
0.138,0.199606983,1.064364394,,,,,,0.548,0.272572345,0.196587165,-1.570689219,-0.079334448,6.186682834,
0.139,0.2006674,1.056463269,,,,,,0.552,0.290908509,0.189518471,-1.557914267,-0.085579086,5.915718884,
0.14,0.201719895,1.048520436,,,,,,0.556,0.293799979,0.180852149,-1.544155302,-0.09176967,5.595347716,
0.141,0.202764427,1.040536209,,,,,,0.56,0.309827966,0.173882545,-1.529421016,-0.097902291,5.328383476,
0.142,0.203800954,1.032510904,,,,,,0.564,0.303151848,0.165365643,-1.513720715,-0.103973075,5.01537567,
0.143,0.204829435,1.024444837,,,,,,0.568,0.300535098,0.156591267,-1.497064316,-0.109978187,4.696998554,
0.144,0.20584983,1.016338326,,,,,,0.572,0.293203517,0.148419385,-1.479462338,-0.115913834,4.399536969,
0.145,0.206862099,1.008191692,,,,,,0.576,0.279810796,0.139788529,-1.460925901,-0.121776267,4.091778848,
0.146,0.2078662,1.000005257,,,,,,0.58,0.273974303,0.131721108,-1.441466711,-0.127561785,3.80427956,
0.147,0.208862096,0.991779343,,,,,,0.584,0.255296013,0.123244564,-1.42109706,-0.133266731,3.509166257,
0.148,0.209849746,0.983514275,,,,,,0.588,0.239582562,0.114684112,-1.399829814,-0.138887503,3.216554591,
0.149,0.210829111,0.97521038,,,,,,0.592,0.23072062,0.107366034,-1.377678405,-0.144420551,2.963651902,
0.15,0.211800154,0.966867985,,,,,,0.596,0.194981941,0.098251378,-1.354656825,-0.14986238,2.66673812,
0.151,0.212762835,0.95848742,,,,,,0.6,0.154550558,0.088645559,-1.330779615,-0.155209553,2.363608548,
0.152,0.213717116,0.950069016,,,,,,0.604,0.13023321,0.080319406,-1.306061855,-0.160458691,2.101825526,
0.153,0.21466296,0.941613104,,,,,,0.608,0.092863394,0.071921242,-1.28051916,-0.165606481,1.845252015,
0.154,0.21560033,0.933120019,,,,,,0.612,0.05664616,0.063310291,-1.25416766,-0.17064967,1.590898012,
0.155,0.216529188,0.924590097,,,,,,0.616,0.019437052,0.054838616,-1.227024002,-0.175585073,1.348192699,
0.156,0.217449498,0.916023673,,,,,,0.62,-0.018468785,0.04675476,-1.199105329,-0.180409573,1.123299582,
0.157,0.218361223,0.907421085,,,,,,0.624,-0.060604309,0.038331986,-1.170429275,-0.185120122,0.898915631,
0.158,0.219264328,0.898782675,,,,,,0.628,-0.100546729,0.03005559,-1.141013953,-0.189713746,0.687113744,
0.159,0.220158777,0.890108782,,,,,,0.632,-0.149890128,0.021675713,-1.110877943,-0.194187542,0.482449834,
0.16,0.221044534,0.881399749,,,,,,0.636,-0.194794891,0.013743974,-1.080040277,-0.198538685,0.297416263,
0.161,0.221921565,0.87265592,,,,,,0.64,-0.238742793,0.005639006,-1.048520436,-0.202764427,0.118465496,
0.162,0.222789834,0.86387764,,,,,,0.644,-0.294460004,-0.002750015,-1.016338326,-0.206862099,-0.055999713,
0.163,0.223649309,0.855065255,,,,,,0.648,-0.340013715,-0.010168234,-0.983514275,-0.210829111,-0.200372739,
0.164,0.224499954,0.846219114,,,,,,0.652,-0.389056489,-0.018014798,-0.950069016,-0.21466296,-0.342923297,
0.165,0.225341736,0.837339566,,,,,,0.656,-0.44333973,-0.025753093,-0.916023673,-0.218361223,-0.472659652,
0.166,0.226174622,0.828426961,,,,,,0.66,-0.493413094,-0.033160144,-0.881399749,-0.221921565,-0.585600934,
0.167,0.226998579,0.819481651,,,,,,0.664,-0.544836714,-0.040560871,-0.846219114,-0.225341736,-0.687705559,
0.168,0.227813574,0.81050399,,,,,,0.668,-0.597442156,-0.047720535,-0.81050399,-0.228619576,-0.774948591,
0.169,0.228619576,0.801494331,,,,,,0.672,-0.648606615,-0.054754828,-0.774276933,-0.231753015,-0.84943699,
0.17,0.229416552,0.79245303,,,,,,0.676,-0.699945456,-0.061801652,-0.737560827,-0.234740075,-0.91329348,
0.171,0.230204472,0.783380445,,,,,,0.68,-0.755836987,-0.068691425,-0.700378862,-0.237578867,-0.96393553,
0.172,0.230983303,0.774276933,,,,,,0.684,-0.800294981,-0.074951352,-0.662754522,-0.240267599,-0.995278447,
0.173,0.231753015,0.765142855,,,,,,0.688,-0.854716211,-0.081738409,-0.624711572,-0.242804573,-1.023100177,
0.174,0.232513579,0.755978569,,,,,,0.692,-0.907719374,-0.088313144,-0.586274041,-0.245188187,-1.037381364,
0.175,0.233264963,0.746784439,,,,,,0.696,-0.956716346,-0.0946359,-0.547466207,-0.247416935,-1.038067662,
0.176,0.234007138,0.737560827,,,,,,0.7,-1.008238304,-0.100869904,-0.508312581,-0.249489408,-1.027317994,
0.177,0.234740075,0.728308098,,,,,,0.704,-1.052555419,-0.106931365,-0.468837895,-0.251404299,-1.004477586,
0.178,0.235463744,0.719026616,,,,,,0.708,-1.105536627,-0.11302226,-0.42906708,-0.253160397,-0.971631557,
0.179,0.236178118,0.709716748,,,,,,0.712,-1.154487753,-0.119179667,-0.389025257,-0.254756594,-0.928950125,
0.18,0.236883168,0.700378862,,,,,,0.716,-1.202830277,-0.125135045,-0.348737718,-0.256191882,-0.874360047,
0.181,0.237578867,0.691013326,,,,,,0.72,-1.251887224,-0.131275194,-0.308229908,-0.257465353,-0.810718111,
0.182,0.238265186,0.68162051,,,,,,0.724,-1.299696752,-0.137379107,-0.267527414,-0.258576203,-0.736379028,
0.183,0.238942099,0.672200784,,,,,,0.728,-1.34672418,-0.143384669,-0.226655943,-0.259523731,-0.65115182,
0.184,0.239609579,0.662754522,,,,,,0.732,-1.393172566,-0.149465607,-0.185641312,-0.260307338,-0.555940521,
0.185,0.240267599,0.653282095,,,,,,0.736,-1.438249855,-0.155504299,-0.144509426,-0.26092653,-0.450247185,
