time,theta,Cd,forcex
1.248,-0.173033383,0.306493578,0.152970945
1.252,-0.175572356,0.299754666,0.149607554
1.256,-0.178093021,0.302161952,0.15080903
1.26,-0.180594896,0.299795816,0.149628092
1.264,-0.183077499,0.295634583,0.14755122
1.268,-0.185540351,0.291146759,0.145311347
1.272,-0.187982973,0.290405509,0.14494139
1.276,-0.190404887,0.287045753,0.143264535
1.28,-0.192805618,0.282221782,0.140856892
1.284,-0.195184692,0.275338608,0.137421499
1.288,-0.197541634,0.274950361,0.137227725
1.292,-0.199875975,0.269828309,0.134671309
1.296,-0.202187245,0.264919016,0.132221081
1.3,-0.204474977,0.257008257,0.128272821
1.304,-0.206738704,0.252222779,0.125884389
1.308,-0.208977965,0.250295304,0.124922386
1.312,-0.211192296,0.242735254,0.121149165
1.316,-0.21338124,0.235414589,0.117495421
1.32,-0.215544339,0.230333639,0.114959519
1.324,-0.217681139,0.224263167,0.111929747
1.328,-0.219791187,0.216652116,0.108131071
1.332,-0.221874034,0.210789569,0.105205074
1.336,-0.223929234,0.204056752,0.101844725
1.34,-0.225956342,0.196706841,0.098176384
1.344,-0.227954916,0.19073284,0.095194761
1.348,-0.229924518,0.179402031,0.089539554
1.352,-0.231864712,0.175289979,0.087487228
1.356,-0.233775065,0.167996105,0.083846856
1.36,-0.235655149,0.156294154,0.078006412
1.364,-0.237504537,0.151253979,0.075490861
1.368,-0.239322805,0.141600805,0.070672962
1.372,-0.241109534,0.129857027,0.064811642
1.376,-0.242864307,0.125234597,0.062504588
1.38,-0.244586713,0.11609911,0.057945066
1.384,-0.246276341,0.105089179,0.052450009
1.388,-0.247932787,0.097173404,0.048499246
1.392,-0.249555648,0.088261134,0.044051132
1.396,-0.251144526,0.074438511,0.037152261
1.4,-0.252699028,0.069421952,0.034648496
1.404,-0.254218764,0.059426629,0.029659831
1.408,-0.255703348,0.048409838,0.02416135
1.412,-0.257152397,0.037875662,0.018903743
1.416,-0.258565536,0.02847238,0.014210565
1.42,-0.259942389,0.018263095,0.009115111
1.424,-0.261282589,0.00902039,0.004502077
1.428,-0.262585771,-0.001664342,-0.000830673
1.432,-0.263851575,-0.011415074,-0.005697263
1.436,-0.265079647,-0.02405571,-0.012006205
1.44,-0.266269635,-0.032470048,-0.016205801
1.444,-0.267421195,-0.043460287,-0.021691029
1.448,-0.268533984,-0.05434559,-0.027123884
1.452,-0.269607668,-0.065067494,-0.032475186
1.456,-0.270641915,-0.075337208,-0.0376008
1.46,-0.2716364,-0.085782645,-0.042814118
1.464,-0.272590801,-0.096641599,-0.048233822
1.468,-0.273504804,-0.106905342,-0.053356456
1.472,-0.274378098,-0.117157293,-0.058473205
1.476,-0.275210378,-0.127635409,-0.063702832
1.48,-0.276001345,-0.137403926,-0.068578299
1.484,-0.276750705,-0.149018959,-0.074375362
1.488,-0.277458169,-0.1599089,-0.079810532
1.492,-0.278123455,-0.170361757,-0.085027553
1.496,-0.278746286,-0.18103163,-0.090352887
1.5,-0.279326391,-0.191612716,-0.095633906
1.504,-0.279863505,-0.201910927,-0.100773744
1.508,-0.280357367,-0.212159009,-0.105888561
1.512,-0.280807724,-0.222490647,-0.111045082
1.516,-0.28121433,-0.232680561,-0.116130868
1.52,-0.281576942,-0.242796971,-0.121179968
1.524,-0.281895326,-0.253371263,-0.126457597
1.528,-0.282169252,-0.263370212,-0.131448073
1.532,-0.282398498,-0.273441427,-0.136474616
1.536,-0.282582848,-0.283511166,-0.141500423
1.54,-0.282722092,-0.293347743,-0.146409858
1.544,-0.282816026,-0.303395191,-0.15142454
1.548,-0.282864454,-0.313248032,-0.156342093
1.552,-0.282867185,-0.323087135,-0.161252789
1.556,-0.282824036,-0.332768155,-0.166084586
1.56,-0.28273483,-0.342416584,-0.170900117
1.564,-0.282599397,-0.352070531,-0.175718402
