,time,,,Cd,theta
213,0.852,3.589039966,0.904941197,0.449438986,-0.334445667
214,0.856,3.603124133,0.8912634,0.451202682,-0.339668257
215,0.86,3.631597391,0.87938741,0.454768257,-0.344770164
216,0.864,3.66126154,0.868503304,0.458482962,-0.349749577
217,0.868,3.685894771,0.856901619,0.461567668,-0.354604725
218,0.872,3.72547394,0.848243174,0.466523986,-0.359333883
219,0.876,3.761594746,0.838071237,0.471047228,-0.363935372
220,0.88,3.804543457,0.830137613,0.476425498,-0.368407557
221,0.884,3.842733025,0.820350283,0.481207802,-0.372748848
222,0.888,3.88427083,0.812200668,0.486409391,-0.376957703
223,0.892,3.926388798,0.802595137,0.49168363,-0.381032627
224,0.896,3.975184974,0.794020724,0.497794151,-0.384972172
225,0.9,4.005710278,0.783376556,0.501616695,-0.388774938
226,0.904,4.04911737,0.775251182,0.507052366,-0.392439574
227,0.908,4.083810688,0.764570348,0.51139685,-0.395964778
228,0.912,4.123403478,0.754092459,0.516354874,-0.399349298
229,0.916,4.142736831,0.740891399,0.518775901,-0.402591931
230,0.92,4.169442329,0.728790647,0.522120107,-0.405691525
231,0.924,4.196899204,0.716951969,0.525558406,-0.408646978
232,0.928,4.217313791,0.703766638,0.528114831,-0.411457242
233,0.932,4.217026881,0.687480521,0.528078902,-0.414121316
234,0.936,4.239876689,0.676277968,0.530940279,-0.416638255
235,0.94,4.248123981,0.663149418,0.531973049,-0.419007165
236,0.944,4.258703457,0.64955457,0.533297868,-0.421227203
237,0.948,4.265502262,0.635747944,0.534149251,-0.423297582
238,0.952,4.263019854,0.621614936,0.533838391,-0.425217564
239,0.956,4.247190727,0.605964861,0.531856182,-0.426986469
240,0.96,4.239620219,0.59256593,0.530908162,-0.428603668
241,0.964,4.221928692,0.577383869,0.528692733,-0.430068586
242,0.968,4.196352618,0.561582125,0.525489959,-0.431380703
243,0.972,4.180656647,0.547393004,0.523524425,-0.432539552
244,0.976,4.145548747,0.531082694,0.519128024,-0.433544721
245,0.98,4.128483528,0.519304946,0.516991025,-0.434395855
246,0.984,4.070600797,0.500169423,0.509742636,-0.435092649
247,0.988,4.015654853,0.482040362,0.502862008,-0.435634858
248,0.992,3.960749588,0.464440075,0.495986474,-0.436022287
249,0.996,3.913112136,0.448815485,0.490021055,-0.4362548
250,1,3.856682784,0.432342872,0.482954666,-0.436332313
251,1.004,3.794746679,0.415422069,0.475198692,-0.4362548
252,1.008,3.729705302,0.398472949,0.46705386,-0.436022287
253,1.012,3.67437184,0.383720812,0.460124705,-0.435634858
254,1.016,3.620929789,0.369836127,0.453432402,-0.435092649
255,1.02,3.550132222,0.35340549,0.444566748,-0.434395855
256,1.024,3.482650392,0.337804704,0.436116308,-0.433544721
257,1.028,3.41191341,0.322518796,0.427258241,-0.432539552
258,1.032,3.338889589,0.307171175,0.418113804,-0.431380703
259,1.036,3.248470694,0.289154283,0.406791061,-0.430068586
260,1.04,3.18130102,0.274975041,0.398379711,-0.428603668
261,1.044,3.119084596,0.262433201,0.390588634,-0.426986469
262,1.048,3.056775877,0.250459926,0.382785999,-0.425217564
263,1.052,2.980084043,0.236397469,0.373182233,-0.423297582
264,1.056,2.873150331,0.217175926,0.359791416,-0.421227203
265,1.06,2.806848631,0.204841956,0.351488759,-0.419007165
266,1.064,2.715338108,0.189424577,0.340029316,-0.416638255
267,1.068,2.605995597,0.170643857,0.326336856,-0.414121316
268,1.072,2.534830449,0.158937843,0.317425171,-0.411457242
269,1.076,2.443734313,0.143405087,0.306017621,-0.408646978
270,1.08,2.329161929,0.124275425,0.291670248,-0.405691525
271,1.084,2.273708378,0.115203886,0.284726054,-0.402591931
272,1.088,2.192330983,0.103946147,0.274535537,-0.399349298
273,1.092,2.12204498,0.092079832,0.265733944,-0.395964778
274,1.096,2.024099183,0.075862126,0.253468641,-0.392439574
275,1.1,1.96754176,0.069172826,0.246386215,-0.388774938
276,1.104,1.889155627,0.056655992,0.23657028,-0.384972172
277,1.108,1.779182252,0.037119968,0.222798819,-0.381032627
278,1.112,1.655601541,0.017128841,0.207323375,-0.376957703
279,1.116,1.579927861,0.003697731,0.197847107,-0.372748848
280,1.12,1.493200952,-0.010913748,0.186986695,-0.368407557
281,1.124,1.416951041,-0.022583025,0.177438269,-0.363935372
282,1.128,1.333350559,-0.03728883,0.166969365,-0.359333883
283,1.132,1.221575096,-0.057761289,0.152972237,-0.354604725
284,1.136,1.136444178,-0.072838063,0.142311683,-0.349749577
285,1.14,1.038299533,-0.091318458,0.13002148,-0.344770164
286,1.144,0.939779238,-0.109344984,0.117684236,-0.339668257
287,1.148,0.871881583,-0.121431327,0.109181725,-0.334445667
288,1.152,0.830167932,-0.127985736,0.103958116,-0.32910425
289,1.156,0.733175196,-0.147637625,0.091812161,-0.323645903
290,1.16,0.628847085,-0.170704693,0.078747631,-0.318072567
291,1.164,0.595490083,-0.174584467,0.074570487,-0.312386222
292,1.168,0.495208409,-0.197609012,0.062012674,-0.306588887
293,1.172,0.399699396,-0.220633719,0.050052519,-0.300682622
294,1.176,0.374858377,-0.22280708,0.046941792,-0.294669526
295,1.18,0.28551966,-0.245596589,0.035754315,-0.288551736
296,1.184,0.226730763,-0.258615799,0.028392452,-0.282331424
297,1.188,0.17481859,-0.27194281,0.021891729,-0.276010802
298,1.192,0.120599515,-0.285512686,0.015102123,-0.269592114
299,1.196,0.024496008,-0.31440861,0.003067523,-0.263077642
300,1.2,0.012491677,-0.320028628,0.001564275,-0.256469699
301,1.204,-0.064974538,-0.345716273,-0.008136463,-0.249770633
302,1.208,-0.089204947,-0.355228179,-0.011170726,-0.242982826
303,1.212,-0.114241739,-0.365542668,-0.014305968,-0.236108688
304,1.216,-0.165672694,-0.386511849,-0.02074643,-0.229150661
305,1.22,-0.216048974,-0.409322069,-0.02705482,-0.222111218
306,1.224,-0.232266298,-0.418920028,-0.029085641,-0.214992861
307,1.228,-0.244090254,-0.42907702,-0.030566301,-0.207798117
308,1.232,-0.270995784,-0.44713533,-0.033935557,-0.200529544
309,1.236,-0.284293182,-0.459779082,-0.035600729,-0.193189723
310,1.24,-0.285835963,-0.469931695,-0.035793924,-0.185781263
311,1.244,-0.290404434,-0.478901819,-0.036366013,-0.178306796
312,1.248,-0.288088158,-0.4887964,-0.036075956,-0.170768977
313,1.252,-0.298407537,-0.506584682,-0.037368205,-0.163170485
314,1.256,-0.276902997,-0.506416522,-0.03467529,-0.155514019
315,1.26,-0.26828886,-0.513953011,-0.033596581,-0.1478023
316,1.264,-0.265005997,-0.528663451,-0.033185483,-0.140038068
317,1.268,-0.246377726,-0.537588726,-0.030852751,-0.13222408
318,1.272,-0.223414101,-0.543877091,-0.027977121,-0.124363114
319,1.276,-0.207761307,-0.556724722,-0.026016994,-0.116457962
320,1.28,-0.161208793,-0.55178201,-0.020187436,-0.108511434
321,1.284,-0.130062385,-0.558509576,-0.016287115,-0.100526351
322,1.288,-0.098648635,-0.565847776,-0.012353315,-0.092505553
323,1.292,-0.053492363,-0.566477005,-0.006698603,-0.084451887
324,1.296,-0.00662487,-0.557873192,-0.000829602,-0.076368216
325,1.3,0.029103083,-0.565675278,0.003644445,-0.068257412
326,1.304,0.078040683,-0.562627936,0.009772676,-0.060122356
327,1.308,0.127870993,-0.55849359,0.016012697,-0.051965939
328,1.312,0.171912567,-0.554956818,0.021527821,-0.043791059
329,1.316,0.218685109,-0.548602941,0.027384931,-0.03560062
330,1.32,0.27715858,-0.541313934,0.034707296,-0.027397533
331,1.324,0.331938117,-0.532841593,0.041567085,-0.019184711
332,1.328,0.382926022,-0.524503084,0.047952067,-0.010965073
333,1.332,0.429390443,-0.523857118,0.053770592,-0.002741539
334,1.336,0.482730282,-0.511500157,0.060450095,0.005482969
335,1.34,0.535862585,-0.502055064,0.06710361,0.013705529
336,1.344,0.591279336,-0.488453702,0.074043195,0.02192322
337,1.348,0.638325307,-0.480130544,0.079934546,0.030133121
338,1.352,0.687100372,-0.46152117,0.086042423,0.038332316
339,1.356,0.739809504,-0.45328761,0.092642945,0.046517892
340,1.36,0.789836684,-0.439681815,0.098907619,0.05468694
341,1.364,0.834959165,-0.42545687,0.1045581,0.062836558
342,1.368,0.879601015,-0.418905359,0.110148394,0.07096385
343,1.372,0.922136558,-0.403617556,0.115474925,0.07906593
344,1.376,0.977764585,-0.403626525,0.122440967,0.087139918
345,1.38,1.027817863,-0.396043164,0.128708909,0.095182945
346,1.384,1.072516393,-0.398753247,0.1343063,0.103192154
347,1.388,1.129552704,-0.403126241,0.141448696,0.1111647
348,1.392,1.191255116,-0.412798159,0.149175405,0.119097749
349,1.396,1.246894813,-0.421340933,0.156142909,0.126988484
350,1.4,1.316222093,-0.440119061,0.164824446,0.1348341
351,1.404,1.397616819,-0.468030302,0.175017133,0.14263181
352,1.408,1.485757214,-0.491062287,0.18605455,0.150378844
353,1.412,1.580958525,-0.53315705,0.197976173,0.158072449
354,1.416,1.687680115,-0.56851939,0.211340427,0.165709891
355,1.42,1.811325155,-0.619862623,0.226823928,0.173288458
356,1.424,1.922124222,-0.663544165,0.240698786,0.180805456
