theta,Cd,Cip
-0.202478483,-0.761156426,1.886286544
-0.199433631,-0.756165415,1.935203015
-0.196348461,-0.75115492,1.970887753
-0.193223562,-0.743524209,2.007578221
-0.190059531,-0.73738614,2.054222217
-0.186856974,-0.731230728,2.088811017
-0.183616505,-0.723419373,2.138460949
-0.180338747,-0.714929632,2.174366294
-0.177024331,-0.706979283,2.206186552
-0.173673896,-0.698561277,2.25061911
-0.170288088,-0.687926706,2.286878627
-0.166867564,-0.678701892,2.311620359
-0.163412985,-0.667752748,2.358181038
-0.159925022,-0.65725285,2.395232876
-0.156404354,-0.647754454,2.425238238
-0.152851665,-0.634649434,2.467313223
-0.149267649,-0.622041752,2.508948748
-0.145653005,-0.611596433,2.535247403
-0.14200844,-0.599558439,2.555339377
-0.138334668,-0.584600471,2.600717066
-0.13463241,-0.572412822,2.617356164
-0.130902392,-0.557134528,2.654015801
-0.127145349,-0.541814618,2.686881628
-0.12336202,-0.530274513,2.702014895
-0.119553153,-0.511900666,2.7350217
-0.115719498,-0.499148737,2.753016223
-0.111861815,-0.480679719,2.796657948
-0.107980868,-0.468263144,2.804230016
-0.104077426,-0.451884589,2.828163389
-0.100152264,-0.432830157,2.859716253
-0.096206164,-0.418744727,2.86687834
-0.09223991,-0.402054547,2.882479841
-0.088254294,-0.383761032,2.902512856
-0.084250111,-0.370933284,2.902948428
-0.080228162,-0.348756518,2.93908861
-0.076189251,-0.335850821,2.947415972
-0.072134188,-0.315569831,2.941753933
-0.068063786,-0.294194943,2.971516698
-0.063978864,-0.28209748,2.970220009
-0.059880243,-0.260733676,2.978277347
-0.055768748,-0.242704769,2.983393426
-0.051645208,-0.229103946,2.97554525
-0.047510456,-0.209235015,2.973615192
-0.043365328,-0.191415859,2.975008278
-0.039210662,-0.172312972,2.984483231
-0.035047301,-0.157942838,2.970161041
-0.030876088,-0.136158505,2.978420151
-0.026697871,-0.116375816,2.974950604
-0.0225135,-0.09936491,2.964820013
-0.018323826,-0.086039859,2.943321151
-0.014129704,-0.063792613,2.950812611
-0.009931989,-0.048395789,2.937134788
-0.005731539,-0.031620559,2.9209704
-0.001529214,-0.014612646,2.905999776
0.002674128,0.006149734,2.904457498
0.006877622,0.019087267,2.873080118
0.011080408,0.035992332,2.857555311
0.01528162,0.057128015,2.848360568
0.019480395,0.066254814,2.814982138
0.023675868,0.087449494,2.806112791
0.027867174,0.09816435,2.7697756
0.032053447,0.11527929,2.752591458
0.036233822,0.126406042,2.71953233
0.040407433,0.143027664,2.694928792
0.044573417,0.157398515,2.669892077
0.04873091,0.169943118,2.639846039
0.052879046,0.185439274,2.613393157
0.057016966,0.195455607,2.572577531
0.061143806,0.207628615,2.538825779
0.065258707,0.220726673,2.504089122
0.069360811,0.22743923,2.464109974
0.073449261,0.243116184,2.434876759
0.077523201,0.248389549,2.388054118
0.081581779,0.256361387,2.342899001
0.085624145,0.274690609,2.318875036
0.089649448,0.276716591,2.267444923
0.093656845,0.285729163,2.224117929
0.097645492,0.300677469,2.19239227
0.101614549,0.292777187,2.128534153
0.105563178,0.311490082,2.10341294
0.109490547,0.315600222,2.055862423
0.113395824,0.314762429,1.999025312
0.117278185,0.328803377,1.965308282
0.121136805,0.32410133,1.911178767
0.124970866,0.329757414,1.864657504
0.128779554,0.340859049,1.827396996
0.132562059,0.329244884,1.763429829
0.136317575,0.341075941,1.726852338
0.140045301,0.345028971,1.683094975
0.143744442,0.3366846,1.620443557
0.147414207,0.346442553,1.584656456
0.151053809,0.339394561,1.530611427
0.15466247,0.334874636,1.47952942
0.158239415,0.341085387,1.437125096
0.161783875,0.337976042,1.388035075
0.165295086,0.331304392,1.332898066
0.168772294,0.330940476,1.290323434
0.172214746,0.327683004,1.246558462
0.1756217,0.323441141,1.194383328
0.178992419,0.315460918,1.144060116
0.182326171,0.316264041,1.104447505
0.185622233,0.310082533,1.058037279
0.188879889,0.297570243,1.006530785
0.19209843,0.295661553,0.961375123
0.195277155,0.289709599,0.9186317
0.198415369,0.274679276,0.869595488
0.201512386,0.271211813,0.830218515
0.204567528,0.26637881,0.789446973
0.207580125,0.246983598,0.735430426
0.210549515,0.243016713,0.698407146
0.213475044,0.234550248,0.660207708
0.216356067,0.220983143,0.617705991
0.219191949,0.211313179,0.577005903
0.221982062,0.202791262,0.540348064
0.224725786,0.186126886,0.500174344
0.227422514,0.178344359,0.464730722
0.230071646,0.167674641,0.430242694
0.23267259,0.148127638,0.39097444
0.235224766,0.140422732,0.359474219
0.237727602,0.127240735,0.327405081
0.240180538,0.11656084,0.29660863
0.242583021,0.100596217,0.264944632
0.244934511,0.086408534,0.2358375
0.247234477,0.073044904,0.207076058
0.249482399,0.057687456,0.18023179
0.251677765,0.045490685,0.154556175
0.253820077,0.029286307,0.129098562
0.255908846,0.014869269,0.106059853
0.257943594,0.00120572,0.084182038
0.259923855,-0.016066838,0.062014573
