time,forcex,moment,Cd,theta,omega,Cip,real_moment
0.44,-0.661017705,0.335937762,-1.324419365,0.209849746,-0.78681142,3.243754688,0.205761879
0.444,-0.657425464,0.339648316,-1.317221927,0.206660297,-0.807859371,3.367315084,0.208034594
0.448,-0.651469411,0.343011167,-1.305288341,0.203387306,-0.828580748,3.487880693,0.21009434
0.452,-0.645872521,0.345364352,-1.294074376,0.200032098,-0.848967175,3.598213512,0.211535665
0.456,-0.638182444,0.348439708,-1.278666488,0.196596027,-0.869010411,3.71596097,0.213419321
0.46,-0.629839777,0.350632332,-1.261951066,0.193080483,-0.888702354,3.824078628,0.214762303
0.464,-0.623072913,0.354589578,-1.248392933,0.189486887,-0.908035043,3.951364553,0.217186117
0.468,-0.613192963,0.355613504,-1.228597401,0.185816692,-0.927000663,4.045542918,0.217813271
0.472,-0.603088977,0.357539764,-1.208352989,0.182071381,-0.945591547,4.14902884,0.218993105
0.476,-0.594737957,0.360870611,-1.191620832,0.178252469,-0.96380018,4.268320686,0.221033249
0.48,-0.581767817,0.360253888,-1.165633775,0.174361499,-0.981619202,4.339805285,0.220655506
0.484,-0.570407795,0.363050272,-1.142872761,0.170400044,-0.999041408,4.451114629,0.222368292
0.488,-0.559102391,0.363811188,-1.12022118,0.166369706,-1.016059756,4.536425932,0.222834353
0.492,-0.546678735,0.366257641,-1.095329063,0.162272114,-1.032667368,4.641578185,0.224332805
0.496,-0.535086854,0.365244036,-1.072103495,0.158108924,-1.048857528,4.701302056,0.223711972
0.5,-0.520854493,0.367783078,-1.043587444,0.153881819,-1.064623692,4.805143844,0.225267135
0.504,-0.507433722,0.368572984,-1.0166975,0.149592508,-1.079959487,4.884830361,0.225750953
0.508,-0.492102554,0.367501066,-0.985979872,0.145242725,-1.094858713,4.937819448,0.225094403
0.512,-0.477707276,0.370570219,-0.957137399,0.140834229,-1.109315348,5.044801224,0.226974259
0.516,-0.462982045,0.369338649,-0.927633831,0.136368801,-1.123323547,5.09152806,0.226219922
0.52,-0.446696183,0.370079929,-0.895003371,0.131848246,-1.136877648,5.163305034,0.226673956
0.524,-0.431101017,0.371969876,-0.863756795,0.127274392,-1.149972171,5.249447835,0.227831549
0.528,-0.414845329,0.370960448,-0.831186794,0.122649088,-1.162601824,5.292698198,0.227213274
0.532,-0.40060914,0.368073133,-0.802663074,0.117974204,-1.1747615,5.306428856,0.225444794
0.536,-0.380940184,0.370704036,-0.763254226,0.11325163,-1.186446284,5.397515752,0.227056222
0.54,-0.365955699,0.368407058,-0.733231215,0.108483273,-1.197651452,5.414731312,0.225649323
0.544,-0.346779249,0.368737807,-0.694809154,0.103671063,-1.208372476,5.468107156,0.225851907
0.548,-0.33137675,0.366655362,-0.663948608,0.098816945,-1.218605021,5.483268681,0.224576409
0.552,-0.313072677,0.366319777,-0.627274449,0.09392288,-1.22834495,5.522036003,0.224370863
0.556,-0.293776763,0.365807053,-0.58861303,0.088990847,-1.237588326,5.555802544,0.22405682
0.56,-0.279843201,0.362970638,-0.560695653,0.084022841,-1.246331413,5.551668931,0.222319516
0.564,-0.259199524,0.362150483,-0.519333848,0.079020868,-1.254570677,5.575742701,0.221817171
0.568,-0.243414988,0.358737575,-0.48770785,0.073986951,-1.262302785,5.557237171,0.219726765
0.572,-0.225431653,0.357177479,-0.451676323,0.068923126,-1.269524614,5.564725117,0.218771206
0.576,-0.207928278,0.354366142,-0.416606448,0.063831439,-1.276233244,5.55009986,0.217049262
0.58,-0.18865986,0.353196307,-0.37800012,0.058713948,-1.282425962,5.558619915,0.216332738
0.584,-0.173524256,0.34934962,-0.347674327,0.053572722,-1.288100265,5.522407721,0.213976642
0.588,-0.155797158,0.346708579,-0.312156197,0.04840984,-1.29325386,5.502586708,0.212359005
0.592,-0.13816089,0.344956445,-0.276820056,0.043227388,-1.297884662,5.494382458,0.211285823
0.596,-0.122991719,0.340495963,-0.246427007,0.038027462,-1.301990801,5.44049488,0.208553777
0.6,-0.10349293,0.33822163,-0.207359105,0.032812164,-1.305570616,5.419013949,0.207160749
0.604,-0.088944618,0.334066977,-0.178210013,0.027583601,-1.308622661,5.364960231,0.204616024
0.608,-0.073211308,0.330545644,-0.146686651,0.022343888,-1.3111457,5.318643927,0.202459207
0.612,-0.059752619,0.325960976,-0.119720735,0.017095142,-1.313138715,5.252846845,0.199651098
0.616,-0.041418325,0.323761306,-0.082986025,0.011839486,-1.3146009,5.223208855,0.1983038
0.62,-0.030013685,0.317614476,-0.060135614,0.006579044,-1.315531663,5.127670583,0.194538867
0.624,-0.013287688,0.314012364,-0.026623298,0.001315942,-1.315930629,5.071054376,0.192332573
0.628,-0.000818964,0.309149527,-0.001640882,-0.003947692,-1.315797636,4.992018788,0.189354085
0.632,0.014515321,0.305427959,0.02908299,-0.00920973,-1.315132738,4.929432245,0.187074625
0.636,0.025063966,0.299667112,0.050218325,-0.014468045,-1.313936203,4.832055169,0.183546106
0.64,0.041278948,0.29623709,0.082706768,-0.019720512,-1.312208516,4.770466031,0.181445217
0.644,0.051725863,0.290821464,0.103638275,-0.024965006,-1.309950375,4.675196,0.178128147
0.648,0.064606465,0.286807904,0.129445933,-0.030199409,-1.307162692,4.600862808,0.175669841
0.652,0.071737364,0.279550644,0.143733449,-0.035421603,-1.303846595,4.473068175,0.171224769
0.656,0.0822902,0.274573706,0.164877179,-0.040629478,-1.300003423,4.380482659,0.168176395
0.66,0.090201102,0.268702804,0.180727513,-0.04582093,-1.295634732,4.272413747,0.164580468
0.664,0.099614832,0.26291323,0.199588923,-0.050993858,-1.290742286,4.164573212,0.161034353
0.668,0.108798678,0.257673495,0.217989738,-0.056146172,-1.285328063,4.064454452,0.157825016
0.672,0.115412523,0.251585387,0.231241281,-0.06127579,-1.279394253,3.950102188,0.15409605
0.676,0.126647647,0.246984581,0.253752048,-0.066380637,-1.272943253,3.858312581,0.151278056
0.68,0.130147318,0.240097877,0.260764011,-0.07145865,-1.265977672,3.730206624,0.14705995
0.684,0.137498911,0.234188773,0.27549371,-0.076507776,-1.258500325,3.616911863,0.143440623
0.688,0.139732414,0.22719227,0.279968772,-0.081525974,-1.250514236,3.486588672,0.139155266
0.692,0.145059968,0.221132309,0.290643094,-0.086511216,-1.242022632,3.370545801,0.135443539
0.696,0.146874581,0.214044437,0.294278865,-0.091461485,-1.233028945,3.238886573,0.131102217
0.7,0.148818274,0.207239987,0.29817326,-0.096374783,-1.223536813,3.111781686,0.126934492
0.704,0.152065024,0.201407691,0.30467847,-0.101249121,-1.213550071,2.999523541,0.123362211
0.708,0.153234957,0.194322243,0.307022555,-0.106082529,-1.203072758,2.869015742,0.119022374
0.712,0.154750414,0.187929961,0.310058934,-0.110873054,-1.192109108,2.749353313,0.115107101
0.716,0.15408984,0.181320652,0.308735403,-0.115618759,-1.180663553,2.627192847,0.1110589
0.72,0.149838171,0.173464272,0.300216733,-0.120317726,-1.168740721,2.48797915,0.106246867
0.724,0.151797402,0.167169013,0.30414226,-0.124968055,-1.15634543,2.372257836,0.10239102
0.728,0.142587219,0.158612382,0.285688679,-0.129567866,-1.143482692,2.225795223,0.097150084
0.732,0.145159911,0.153184923,0.290843341,-0.1341153,-1.130157707,2.124582483,0.093825765
0.736,0.13705442,0.144647904,0.274603126,-0.138608519,-1.11637586,1.981714583,0.088596841
0.74,0.135917395,0.13851492,0.272324974,-0.143045705,-1.102142724,1.873496634,0.084840389
0.744,0.130538516,0.131930441,0.261547818,-0.147425067,-1.087464052,1.760671959,0.080807395
