time,theta,omega,real_moment,Cd,Cip
0.504,0.138050651,-0.471851356,0.091874265,-0.366671923,0.868583379
0.508,0.136140834,-0.48303315,0.09250857,-0.362181027,0.895305671
0.512,0.13418658,-0.494069459,0.093181801,-0.358891808,0.922426009
0.516,0.132188477,-0.504956611,0.09398215,-0.354842216,0.950849686
0.52,0.130147131,-0.515690982,0.094379554,-0.349531577,0.975168998
0.524,0.128063158,-0.526268986,0.094858188,-0.344609474,1.000218848
0.528,0.125937192,-0.536687089,0.095494649,-0.340018393,1.026863263
0.532,0.123769879,-0.5469418,0.096021276,-0.33396332,1.052255046
0.536,0.12156188,-0.557029678,0.096510227,-0.327957373,1.077120032
0.54,0.119313869,-0.56694733,0.097029539,-0.322455294,1.102196716
0.544,0.117026533,-0.576691415,0.097344125,-0.315401371,1.124775021
0.548,0.114700573,-0.586258643,0.097809614,-0.30970209,1.148902656
0.552,0.112336704,-0.595645778,0.098256814,-0.30318112,1.172635868
0.556,0.109935651,-0.604849634,0.098456503,-0.295094555,1.193175309
0.56,0.107498155,-0.613867086,0.098996818,-0.287925336,1.217609462
0.564,0.105024967,-0.622695059,0.099079397,-0.281011294,1.236150094
0.568,0.102516851,-0.63133054,0.099341628,-0.272720457,1.256609966
0.572,0.099974584,-0.639770572,0.099529673,-0.264215801,1.275819598
0.576,0.097398951,-0.648012258,0.099480718,-0.256204783,1.291619409
0.58,0.094790754,-0.656052759,0.09986357,-0.247628356,1.312678233
0.584,0.092150801,-0.663889301,0.100229489,-0.239741065,1.333225511
0.588,0.089479915,-0.671519169,0.100147126,-0.230159503,1.347439692
0.592,0.086778927,-0.678939714,0.100551868,-0.220423161,1.367835235
0.596,0.08404868,-0.686148349,0.100437019,-0.211962618,1.3807793
0.6,0.081290026,-0.693142553,0.100301075,-0.20491819,1.392966207
0.604,0.078503829,-0.69991987,0.100673519,-0.193047978,1.411809178
0.608,0.07569096,-0.706477913,0.100147752,-0.183409817,1.417595169
0.612,0.072852301,-0.71281436,0.099968954,-0.174667066,1.427756079
0.616,0.069988743,-0.71892696,0.100386696,-0.163365897,1.446016879
0.62,0.067101186,-0.724813531,0.099492834,-0.156719693,1.444875818
0.624,0.064190539,-0.730471959,0.099516951,-0.144693332,1.456508555
0.628,0.061257718,-0.735900203,0.099457081,-0.134173152,1.466449329
0.632,0.058303647,-0.741096294,0.098989319,-0.124271348,1.469858096
0.636,0.055329259,-0.746058334,0.09884575,-0.114604488,1.477553504
0.64,0.052335495,-0.7507845,0.098313159,-0.104515802,1.47890194
0.644,0.0493233,-0.755273042,0.09782878,-0.09514154,1.480413553
0.648,0.04629363,-0.759522282,0.097432417,-0.084432728,1.482710713
0.652,0.043247443,-0.763530623,0.096814997,-0.075328356,1.481090258
0.656,0.040185708,-0.767296537,0.096588283,-0.063407092,1.484909941
0.66,0.037109396,-0.770818579,0.096249318,-0.054742774,1.486490933
0.664,0.034019486,-0.774095376,0.094837783,-0.046057845,1.470917432
0.668,0.030916962,-0.777125635,0.094606056,-0.033257167,1.47306735
0.672,0.027802811,-0.77990814,0.093765637,-0.025575445,1.465209049
0.676,0.024678028,-0.782441754,0.092507033,-0.019941608,1.450237726
0.68,0.021543611,-0.78472542,0.092044042,-0.007293137,1.447190935
0.684,0.01840056,-0.786758158,0.091665782,0.003289733,1.444976996
0.688,0.015249881,-0.788539072,0.089914919,0.006867783,1.420585581
0.692,0.012092584,-0.790067341,0.089578926,0.019689587,1.418020118
0.696,0.00892968,-0.791342229,0.08824189,0.025756252,1.399109079
0.7,0.005762185,-0.79236308,0.087842357,0.038357126,1.39457104
0.704,0.002591115,-0.793129318,0.086509169,0.044673318,1.374733682
0.708,-0.00058251,-0.79364045,0.085704025,0.053304879,1.362816691
0.712,-0.003757668,-0.793896065,0.084354863,0.060921096,1.341795107
0.716,-0.006933337,-0.793895833,0.083369085,0.067893531,1.326114388
0.72,-0.010108493,-0.793639508,0.082548657,0.077598572,1.312640259
0.724,-0.013282111,-0.793126926,0.081606028,0.086748986,1.296813033
0.728,-0.016453167,-0.792358005,0.079907998,0.088674244,1.268598309
0.732,-0.019620634,-0.791332747,0.079000971,0.098265439,1.252575744
0.736,-0.022783487,-0.790051236,0.077783716,0.104974048,1.231278728
0.74,-0.025940702,-0.78851364,0.076046562,0.107590341,1.201437619
0.744,-0.029091255,-0.78672021,0.075020724,0.115209954,1.182534962
0.748,-0.032234123,-0.784671281,0.073846279,0.121753135,1.160990862
0.752,-0.035368285,-0.782367269,0.072228568,0.125003493,1.132223348
0.756,-0.038492722,-0.779808675,0.070921024,0.130780748,1.108091157
0.76,-0.041606416,-0.776996082,0.069485449,0.134276118,1.081745576
0.764,-0.044708353,-0.773930159,0.06790147,0.137968251,1.052915153
0.768,-0.04779752,-0.770611654,0.066471999,0.140888779,1.026329339
0.772,-0.05087291,-0.7670414,0.065005235,0.14653674,0.999032392
0.776,-0.053933517,-0.763220312,0.063324224,0.147398372,0.968349703
0.78,-0.05697834,-0.759149388,0.061544388,0.146773093,0.936112694
0.784,-0.06000638,-0.754829709,0.060339172,0.154253578,0.912558599
0.788,-0.063016647,-0.750262436,0.058459559,0.152630802,0.878782027
0.792,-0.066008151,-0.745448814,0.056643221,0.152292562,0.84601527
0.796,-0.068979911,-0.740390167,0.055117228,0.153909591,0.817636825
0.8,-0.071930948,-0.735087904,0.053540438,0.156739544,0.788557975
0.804,-0.074860291,-0.72954351,0.051466423,0.152059075,0.752294028
0.808,-0.077766975,-0.723758554,0.049610266,0.150835456,0.719412024
0.812,-0.080650041,-0.717734684,0.048256207,0.155129061,0.693952188
0.816,-0.083508537,-0.711473628,0.046235495,0.151045755,0.65909307
0.82,-0.086341516,-0.704977193,0.044283,0.146776745,0.625495987
0.824,-0.089148043,-0.698247263,0.042420053,0.143765591,0.593461952
0.828,-0.091927186,-0.691285803,0.040756501,0.145539715,0.564503922
0.832,-0.094678023,-0.684094855,0.03906348,0.143853235,0.535426284
0.836,-0.097399641,-0.676676535,0.036721767,0.132357663,0.497871329
0.84,-0.100091135,-0.66903304,0.035111426,0.132857377,0.470661275
0.844,-0.102751609,-0.661166641,0.033351359,0.129964204,0.441811384
0.848,-0.105380174,-0.653079682,0.031555328,0.127570794,0.412906098
0.852,-0.107975955,-0.644774586,0.029115536,0.114936241,0.376136199
0.856,-0.110538083,-0.636253846,0.027541829,0.114198655,0.351103884
0.86,-0.113065702,-0.627520031,0.025600646,0.108477321,0.321877749
0.864,-0.115557963,-0.61857578,0.023790374,0.104274954,0.294853719
0.868,-0.118014031,-0.609423807,0.021623213,0.092867152,0.264029273
0.872,-0.12043308,-0.600066892,0.019860593,0.088554401,0.238783498
0.876,-0.122814297,-0.59050789,0.017885318,0.08144572,0.211609326
0.88,-0.125156878,-0.580749722,0.015924169,0.074482593,0.185292664
0.884,-0.127460033,-0.57079538,0.014041319,0.068301581,0.160583452
