time,theta,Cd,Cip
1.072,-0.039142632,0.102553744,0.397679917
1.076,-0.041276862,0.104282815,0.395844056
1.08,-0.043404573,0.10536944,0.393263745
1.084,-0.045525431,0.105621911,0.388517299
1.088,-0.0476391,0.108046335,0.386453589
1.092,-0.049745246,0.109587755,0.383466353
1.096,-0.051843536,0.111198371,0.378992532
1.1,-0.05393364,0.111952096,0.372584913
1.104,-0.056015227,0.113336545,0.369418623
1.108,-0.058087969,0.114383004,0.363676697
1.112,-0.060151538,0.115705942,0.358157595
1.116,-0.062205608,0.117231617,0.35183678
1.12,-0.064249855,0.117972862,0.345804885
1.124,-0.066283956,0.117907548,0.339565587
1.128,-0.068307591,0.118809131,0.332992536
1.132,-0.070320439,0.119446403,0.326454515
1.136,-0.072322182,0.120428518,0.31943497
1.14,-0.074312505,0.120705994,0.312149915
1.144,-0.076291093,0.120610178,0.305315562
1.148,-0.078257634,0.120996932,0.297244923
1.152,-0.080211817,0.122203969,0.292196213
1.156,-0.082153334,0.121829795,0.283853436
1.16,-0.084081878,0.121052235,0.27506118
1.164,-0.085997144,0.120870796,0.268487265
1.168,-0.087898831,0.119861397,0.260313115
1.172,-0.089786637,0.120835683,0.254368277
1.176,-0.091660264,0.120279594,0.246621246
1.18,-0.093519418,0.119939712,0.238750975
1.184,-0.095363804,0.119827724,0.232042837
1.188,-0.09719313,0.117399351,0.223176653
1.192,-0.099007109,0.116598871,0.216514291
1.196,-0.100805453,0.11558506,0.209001912
1.2,-0.102587879,0.117023814,0.203473708
1.204,-0.104354106,0.116513641,0.196386638
1.208,-0.106103853,0.116564947,0.19030056
1.212,-0.107836846,0.110994026,0.180119785
1.216,-0.109552809,0.109132109,0.172301437
1.22,-0.111251474,0.106412738,0.164651758
1.224,-0.11293257,0.108115133,0.159406024
1.228,-0.114595833,0.106626365,0.15282198
1.232,-0.116240999,0.104743642,0.145741357
1.236,-0.11786781,0.103630992,0.13969496
1.24,-0.119476009,0.098648182,0.130783759
1.244,-0.121065341,0.095973932,0.123976588
1.248,-0.122635555,0.095197782,0.11809951
1.252,-0.124186403,0.092203226,0.111560978
1.256,-0.125717641,0.090260657,0.105705255
1.26,-0.127229027,0.088143186,0.09947689
1.264,-0.128720322,0.086152587,0.093292257
1.268,-0.13019129,0.083755414,0.086815155
1.272,-0.1316417,0.078463032,0.080122282
1.276,-0.133071322,0.076981493,0.07518812
1.28,-0.13447993,0.073632835,0.069269268
1.284,-0.135867303,0.070974584,0.063570986
1.288,-0.13723322,0.067882254,0.057947374
1.292,-0.138577467,0.064822462,0.05246455
1.296,-0.139899831,0.063167267,0.047807945
1.3,-0.141200103,0.062547089,0.043623202
1.304,-0.142478077,0.055911949,0.038001838
1.308,-0.143733553,0.053482681,0.033774911
1.312,-0.144966332,0.051258888,0.029138716
1.316,-0.146176219,0.046736601,0.024326052
1.32,-0.147363023,0.043568861,0.019950915
1.324,-0.148526556,0.040610118,0.016115804
1.328,-0.149666636,0.037516335,0.01205761
1.332,-0.150783081,0.035460979,0.009120175
1.336,-0.151875716,0.031565499,0.005358151
1.34,-0.152944368,0.028248955,0.001920831
1.344,-0.153988869,0.023399996,-0.001295458
1.348,-0.155009052,0.021618722,-0.004302975
1.352,-0.156004758,0.018933,-0.007143385
1.356,-0.156975829,0.013546127,-0.010546733
1.36,-0.157922112,0.010772174,-0.012918164
1.364,-0.158843457,0.007093215,-0.01526457
1.368,-0.159739719,0.003221555,-0.017671868
1.372,-0.160610756,0.000880054,-0.019399409
1.376,-0.161456431,-0.002500911,-0.021297043
1.38,-0.16227661,-0.006115415,-0.022984099
1.384,-0.163071163,-0.010258319,-0.024785976
1.388,-0.163839966,-0.013436051,-0.026082714
1.392,-0.164582897,-0.017078593,-0.027337155
1.396,-0.165299838,-0.020111665,-0.028483921
1.4,-0.165990676,-0.024608272,-0.029322541
1.404,-0.166655302,-0.028872241,-0.030101672
1.408,-0.167293612,-0.03171577,-0.030610136
